file_index,model,condition,audio_duration_s,WER (%),CER (%),MER (%),WIL (%),Word Accuracy (%),WIP (%),SER (%),Sem. similarity,BLEU,Punct (%),NER (%),Morph (%),Substitutions,Insertions,Deletions,Morph errors,Name errors
22,Voxtral,Overall,60.416,45.27,13.3,43.23,65.58,54.73,34.42,100.0,0.3533,34.56,85.71,40.0,,57,7,3,3,4
23,Whisper,Overall,62.229,8.33,2.74,8.18,13.52,91.67,86.48,75.0,0.5116,84.7,96.3,66.67,,9,3,1,2,1
23,Voxtral,Overall,62.229,14.1,3.24,13.84,23.85,85.9,76.15,69.23,0.4849,74.54,96.3,66.67,,18,3,1,4,3
24,Whisper,Overall,53.59,8.47,1.41,8.33,13.83,91.53,86.17,72.73,0.5017,83.9,91.3,87.5,,7,2,1,4,0
24,Voxtral,Overall,53.59,11.02,2.04,10.83,18.47,88.98,81.53,81.82,0.4844,77.49,95.65,87.5,,10,2,1,3,1
25,Whisper,Overall,58.539,6.14,2.5,6.14,11.9,93.86,88.1,20.0,0.8177,87.05,82.35,72.73,,7,0,0,0,1
25,Voxtral,Overall,58.539,6.14,2.37,6.03,10.16,93.86,89.84,33.33,0.7895,87.26,88.24,90.91,,5,2,0,1,1
26,Whisper,Overall,62.507,21.67,13.77,18.57,22.64,78.33,77.36,72.22,0.6287,76.03,100.0,100.0,,6,20,0,1,1
26,Voxtral,Overall,62.507,13.33,1.75,12.7,19.97,86.67,80.03,53.85,0.6343,80.06,96.0,100.0,,10,6,0,2,0
27,Whisper,Overall,59.541,3.33,2.5,3.25,4.06,96.67,95.94,9.09,0.9579,95.08,100.0,100.0,,1,3,0,0,1
27,Voxtral,Overall,59.541,4.17,1.05,4.17,8.16,95.83,91.84,90.0,0.4639,90.68,90.48,71.43,,5,0,0,3,1
